inertia0,inertia1
66853536874061.945,9072228690766.766
48144051019663.48,5330900115903.907
38998092447172.07,3670735034299.7847
32932937932411.047,2693717978173.5107
28912729685580.13,2092006141373.5813
25431832351124.297,1683649331038.3455
22993469831681.15,1377460514295.3643
20817921478811.938,1139501929756.2332
18994810666244.816,966187037718.544
17532943771467.744,811796430802.6143
16202088584351.88,703625196238.6427
15029905469307.188,604762837467.1992
14052857575931.967,524063454602.2619
13095202422620.457,452615740201.10535
12284351757150.611,395703688730.24915
11567135922625.965,344411631648.7373
10903620992403.24,302520599067.49347
10280073210140.797,264766189560.15152
9724818720574.582,232228283260.01358
9252465959615.328,205841124586.29477
8778411751452.286,181127024508.2223
8335221522253.144,159445785883.8981
7940579693649.643,140482673515.28848
7570354934944.789,124979775648.47293
7214397711979.265,109975941355.33493
6906469029768.522,97461653686.36304
6601502353432.595,86588870744.2599
6305448199401.494,76029948564.85887
6028270789855.378,67215680728.49421
5778639074892.772,59734045494.151924
