n,ch,db,dunn
2,387569.2386923172,0.04043501485876623,0
3,386326.865041233,0.06213069718646147,0
4,949924.9940636952,0.14378444196803336,0
5,1489485.8090391897,0.288719682068484,0
6,1505945.055786784,0.31995844146755353,0
7,1608778.3368075027,0.3037454966705716,0
8,1899643.5977146667,0.3053209356122375,0
9,2548341.923193041,0.3650269465429174,0
10,3260306.9759964393,0.3060560436389049,0
11,3885060.290429328,0.2924099222277394,0
12,5054349.341044115,0.2501858871991804,0
13,6516514.448915411,0.28173965487317115,0
14,7621726.33047652,0.21999890292103938,0
15,8365671.783559638,0.21022370951251604,0
16,9485341.67661444,0.23500608600118833,0
17,11124032.963159746,0.2442099856682909,0
18,12863200.371522788,0.25513413198858603,0
19,15474931.461536381,0.27039297721520167,0
20,16430418.784999976,0.27109373703531026,0
21,17426522.996634714,0.2605008152185996,0
22,18372337.723879244,0.3169655209443615,0
23,19534717.389794607,0.33492724304862737,0
24,20254623.203336008,0.34377965836581925,0
25,21320451.17259358,0.34441342873419517,0
26,22012748.355047796,0.3475866726572995,0
27,24184002.396003604,0.3411713291522744,0
28,24880577.99795983,0.3334034416388654,0
29,26189731.319133196,0.3684222164677081,0
30,27261792.826858964,0.33473909051322626,0
31,27836912.00401091,0.30363703406299586,0
32,28758419.73712422,0.3595795704260083,0
33,29806504.89803934,0.3410389519977897,0
34,31041668.913379997,0.35108954955490435,0
35,31131593.06623679,0.3585319291112408,0
36,32164740.254727527,0.3514429327820127,0
37,33184213.632045288,0.3215209258665796,0
38,34367399.375396214,0.34788120151635904,0
39,34686407.49645665,0.35488967741626937,0
