K,Classe 0,Classe 1
100,6.71E+13,9.05E+12
200,4.80E+13,5.32E+12
300,3.88E+13,3.68E+12
400,3.29E+13,2.73E+12
500,2.87E+13,2.10E+12
600,2.55E+13,1.68E+12
700,2.30E+13,1.38E+12
800,2.08E+13,1.14E+12
900,1.91E+13,9.58E+11
1000,1.75E+13,8.21E+11
1100,1.61E+13,7.02E+11
1200,1.50E+13,6.01E+11
1300,1.40E+13,5.23E+11
1400,1.31E+13,4.51E+11
1500,1.23E+13,3.96E+11
1600,1.16E+13,3.44E+11
1700,1.09E+13,3.03E+11
1800,1.03E+13,2.64E+11
1900,9.76E+12,2.32E+11
2000,9.23E+12,2.05E+11
2100,8.76E+12,1.82E+11
2200,8.33E+12,1.60E+11
2300,7.95E+12,1.41E+11
2400,7.57E+12,1.24E+11
2500,7.20E+12,1.10E+11
2600,6.90E+12,9.71E+10
2700,6.60E+12,8.60E+10
2800,6.31E+12,7.62E+10
2900,6.04E+12,6.74E+10
3000,5.78E+12,5.97E+10
