NN,DMC,CQG
23.38,56.43,82.45
23.59,56.05,79.98
26.72,56.67,78.22
27.53,58.55,78.86
29.59,57.87,67.5
34.28,58.87,67.11
34.85,59.83,68.56
37.75,60.53,68.18
37.98,60.2,68.69
39.17,61.22,69.48
40.95,62.66,70.13
41.48,61.77,69.53
43.29,62.81,70.48
45.05,63.08,71.13
45.28,63.17,70.71
46.02,63.25,71.57
47.67,63.69,71.13
47.99,64.16,71.59
48.5,64.29,71.84
48.97,64.77,71.83
50.21,64.82,72.14
50.12,65.42,72.27
52.22,65.39,72.36
52.1,65.27,72.26
53.15,65.83,72.53
53.44,65.85,72.53
54.04,65.89,72.46
55.04,66.22,72.28
54.69,66.39,72.5
55.87,66.71,72.48
