NN,DMC,CQG
21.75,54.78,79.93
22.6,56.86,73.34
25.19,56.93,66.54
27.72,58.1,62.62
31.77,58.05,63.43
32.0,59.23,64.35
35.0,59.76,65.83
36.74,59.99,66.1
38.62,60.35,66.91
39.33,61.08,68.2
41.68,62.55,68.95
42.0,61.93,68.88
43.35,62.3,69.44
44.85,63.19,70.18
46.12,62.57,70.65
45.78,63.11,70.67
46.56,63.77,70.62
47.64,63.6,71.11
48.97,64.5,71.03
48.85,64.62,71.37
50.03,64.8,71.76
51.47,65.16,72.1
52.07,65.32,71.68
52.49,65.49,72.02
52.69,65.76,72.26
53.38,65.95,72.18
54.36,66.15,72.36
54.58,66.4,72.4
54.8,66.59,72.49
56.07,66.61,72.42
