NN,DMC,CQG
75.03,67.32,79.97
74.81,70.41,79.15
74.45,69.15,77.19
75.35,68.42,78.15
75.98,68.97,78.36
76.44,70.7,79.41
76.13,70.8,79.17
76.38,69.86,80.34
77.19,70.98,80.12
77.54,70.14,80.3
76.95,70.38,80.88
77.47,70.65,80.88
78.19,71.04,80.86
77.9,70.81,80.91
77.72,71.94,80.86
78.27,72.21,81.54
78.99,71.96,81.42
78.97,72.01,81.43
79.51,72.59,81.3
79.7,72.59,81.42
79.57,72.82,81.49
80.9,72.93,81.4
80.58,73.22,81.53
80.75,73.92,81.6
80.98,73.51,81.42
81.36,74.5,81.51
80.82,73.84,81.81
81.78,74.27,81.63
81.83,74.59,81.29
81.9,75.01,81.66
