inertia0,inertia1
66768750498203.26,9118500282619.354
48051170984576.15,5289208097308.528
38937268657464.53,3652229836846.3887
32889993370035.82,2729323051106.3467
28691764811037.965,2103686636642.114
25521694940944.74,1681535979301.1567
23056470988354.992,1379269593084.613
20708635279834.66,1141836776069.0776
19065880210421.387,963945787408.6823
17482427169984.37,824142911638.7316
16132270805132.758,699349571316.0659
15028217311273.166,602448157818.6748
14033179273457.78,523481892163.2525
13062672430198.074,453441336893.09326
12299174359965.023,395647336548.14233
11566611795783.725,344655064307.9032
10908515026174.53,301250261250.32556
10304626352782.959,264704374096.94263
9756374819731.13,232298822660.79544
9217913452226.977,204661718325.3787
8771297643129.791,181343328371.35117
