inertia0,inertia1
67040014282249.94,9089864481767.955
48148121430247.414,5303229478965.455
38758247493567.85,3636712197095.8154
32757087949550.492,2716457549291.753
28757082445793.73,2099807506631.535
25498721382722.42,1678407521469.3367
22960871073522.11,1374837995531.3926
20893602037781.33,1151426485596.2065
19043446881935.266,967727771333.651
17505550967772.086,824801283216.1189
16149645386988.607,705296260983.0425
15044227407864.576,603744689536.6311
13981262566200.236,521828763062.604
13078230816723.816,456623546696.2912
12298957176106.37,397876345107.49414
11576209045286.395,345071585819.1907
10888620638782.664,302164680389.2807
10302500973926.99,264694717781.7716
9756834129425.95,232310012453.96997
9213337424252.115,205361054683.91238
8771178199318.407,180940560894.4301
8344311641349.487,159172309634.19135
7954750695829.59,140851141791.38843
7574145089357.725,124059944450.38107
7212209457973.277,110192841725.81772
6881897793801.549,97792228489.68582
6593176954908.912,86079464174.46939
6310095703999.238,76642104549.71153
6047865341140.79,67580763155.60605
5776467754320.185,59765077337.43933
